,Year,Type,Country,Area,Location,Activity,Injury,Time
2017,1999.0,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",surfing,Lacerations to hand & wrist,15:00 - 17:59
2018,1999.0,Unprovoked,USA,Hawaii,"Big Island off Kona Village Resort, North Kona",swimming,"Buttock bitten, hands lacerated",15:00 - 17:59
2021,1999.0,Unprovoked,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",surfing,Upper right thigh bitten,09:00 - 11:59
2024,1999.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",surfing,Right foot lacerated,15:00 - 17:59
2025,1999.0,Unprovoked,USA,Florida,"Gulfstream Park beach, Palm Beach County",surfing,"Shark bit 8"" chunk from swim fin",15:00 - 17:59
2027,1999.0,Unprovoked,USA,Hawaii,Old Kona Airport State Park,surfing,Right arm bitten,18:00 - 20:59
2028,1999.0,Unprovoked,USA,Florida,"South side of Ponce de Leon Inlet, Volusia County",surfing,3 one-inch lacerations to sole of right foot,18:00 - 20:59
2031,1999.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",playing,Toes lacerated,12:00 - 14:59
2034,1999.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Right foot bitten,18:00 - 20:59
2035,1999.0,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",surfing,3-inch laceration to right foot,12:00 - 14:59
2037,1999.0,Unprovoked,MARSHALL ISLANDS,Ralik Chain,Kwajalein Atoll,fishing,Lacerations to left leg,06:00 - 08:59
2038,1999.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Small lacerations to right foot,18:00 - 20:59
2040,1999.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right ankle & heel  lacerated,09:00 - 11:59
2041,1999.0,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,fishing,Right arm bitten,15:00 - 17:59
2042,1999.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Kogebaai,surfing,Right thigh bitten,12:00 - 14:59
2043,1999.0,Unprovoked,USA,Florida,"Two miles off Key Colony Beach, Monroe County",swimming,Ankle bitten,18:00 - 20:59
2044,1999.0,Unprovoked,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),surfing,Right thigh & buttock bitten,09:00 - 11:59
2045,1999.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay (near Knysna),surfing,FATAL,09:00 - 11:59
2047,1999.0,Unprovoked,USA,Florida,"Pensacola  Beach, Escambia County",fishing,Lacerations knee to ankle,12:00 - 14:59
2048,1999.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",surfing,Leg & board bitten,06:00 - 08:59
2050,1999.0,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",surfing,Right hand and wrist lacerated,09:00 - 11:59
2051,1999.0,Unprovoked,USA,Florida,"Atlantiic Beach, Duval County",swimming,8-inch bite on calf,12:00 - 14:59
2052,1999.0,Unprovoked,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",playing,Knee lacerated,15:00 - 17:59
2053,1999.0,Unprovoked,AUSTRALIA,South Australia,"Hardwicke Bay, Yorke Peninsula",surfing,"FATAL, body not recovered",12:00 - 14:59
2054,1999.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",surfing,Leg & hands bitten,12:00 - 14:59
2055,1999.0,Unprovoked,MAURITIUS,Grand Baie,Pointe aux Canonniers,swimming,Thigh bitten,06:00 - 08:59
2056,1999.0,Unprovoked,REUNION,L' Etang Salé-les-Bains,Roche-aux-Oiseaux,swimming,FATAL,09:00 - 11:59
2060,1999.0,Unprovoked,USA,Hawaii,"Olowalu side of Lahina, Maui ",swimming,"FATAL, arm bitten ",18:00 - 20:59
2061,1999.0,Unprovoked,NEW CALEDONIA,Loyalty Islands,Ouvea,fishing,Multiple injuries,06:00 - 08:59
2064,1999.0,Unprovoked,USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui",swimming,Tissue removed knee to thigh,09:00 - 11:59
2066,1999.0,Unprovoked,AUSTRALIA,New South Wales,Scotts Head,surfing,"Left hand & forearm bitten, board bitten",18:00 - 20:59
2067,1999.0,Unprovoked,USA,Florida,"Hobe Sound, Martin County",surfing,Left hand bitten,15:00 - 17:59
2073,1999.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Hospital Rock, Dyers Island",fishing,Heel lacerated,12:00 - 14:59
2076,1998.0,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,playing,2 puncture wounds in left leg,15:00 - 17:59
2077,1998.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",surfing,Leg bitten,15:00 - 17:59
2079,1998.0,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,surfing,Leg injured,12:00 - 14:59
2080,1998.0,Unprovoked,USA,Florida,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County",swimming,FATAL,12:00 - 14:59
2081,1998.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right foot bitten,06:00 - 08:59
2082,1998.0,Unprovoked,USA,Florida,"South Beach Park, Indian River County",playing,Survived,15:00 - 17:59
2085,1998.0,Unprovoked,BRAZIL,Pernambuco," Boa Viagem Beach, Recife",surfing,"FATAL, left forearm severed  ",15:00 - 17:59
2086,1998.0,Unprovoked,USA,Florida,"Jupiter Beach, Palm Beach County",swimming,Minor lacerations on right ankle & foot,12:00 - 14:59
2093,1998.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left arm lacerated,15:00 - 17:59
2094,1998.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kowie River,fishing,Laceration to right foot,18:00 - 20:59
2097,1998.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Toes lacerated,18:00 - 20:59
2099,1998.0,Unprovoked,USA,California,"Stinson Beach, Marin County",surfing,"Thigh, buttocks & lower back lacerated",12:00 - 14:59
2101,1998.0,Unprovoked,BAHAMAS,Berry Islands,Ambergris Cay,fishing,Calf bitten,15:00 - 17:59
2105,1998.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Pringle Bay,fishing,Leg bitten,12:00 - 14:59
2106,1998.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",surfing,Lacerations to left foot,15:00 - 17:59
2109,1998.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,surfing,Knee bitten,06:00 - 08:59
2111,1998.0,Unprovoked,AUSTRALIA,South Australia,South Neptune Island,swimming,"FATAL, left thigh and lower leg severely injured  ",12:00 - 14:59
2112,1998.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Gonubie, 13 km northeast of East London",surfing,"FATAL, hands & calf bitten  ",09:00 - 11:59
2113,1998.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",surfing,"2-inch laceration on dorsum of foot, 1-inch laceration on sole.",18:00 - 20:59
2117,1998.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,surfing,Leg bitten,12:00 - 14:59
2118,1998.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,4 lacerations on the sole of his right foot,09:00 - 11:59
2119,1998.0,Unprovoked,USA,Florida,"Pecks Lake, Martin County",swimming,Ankle & foot bitten,12:00 - 14:59
2120,1998.0,Unprovoked,USA,Florida,"Walden Rocks, St. Lucie County",surfing,Left arm & wrist lacerated,15:00 - 17:59
2121,1998.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Keurbooms,surfing,"Lower legs bitten, foot severed",12:00 - 14:59
2123,1998.0,Unprovoked,USA,Oregon,Gleneden Beach,surfing,Right thigh bitten,09:00 - 11:59
2127,1998.0,Unprovoked,USA,Florida,"Jensen Beach Park, Martin County",swimming,Heel lacerated,15:00 - 17:59
2128,1998.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Saldanha Bay,swimming,Lower leg lacerated,15:00 - 17:59
2129,1998.0,Unprovoked,USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",surfing,6 puncture wounds to right calf,06:00 - 08:59
2130,1998.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",swimming,Hands bitten,09:00 - 11:59
2135,1998.0,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,surfing,20 punctures in right foot,12:00 - 14:59
2136,1998.0,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,surfing,Leg bitten,12:00 - 14:59
2140,1997.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Pringle Bay, 44 miles southeast of Cape Town",fishing,FATAL,12:00 - 14:59
2144,1997.0,Unprovoked,AUSTRALIA,Western Australia,Albany,swimming,Left arm lacerated when shark grabbed scooter,06:00 - 08:59
2148,1997.0,Unprovoked,USA,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",surfing,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",06:00 - 08:59
2149,1997.0,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",surfing,"5"" gash in foot",15:00 - 17:59
2150,1997.0,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",surfing,Left foot bitten,18:00 - 20:59
2152,1997.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",swimming,Laceration & 3 puncture wounds to anterior right thigh,06:00 - 08:59
2154,1997.0,Unprovoked,USA,Florida,Volusia County  ,surfing,Laceration to right foot,15:00 - 17:59
2155,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,2 small lacerations to bottom of foot,18:00 - 20:59
2156,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to lower left leg,15:00 - 17:59
2157,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations on right ankle & heel,12:00 - 14:59
2158,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,"2"" laceration on left heel",09:00 - 11:59
2159,1997.0,Unprovoked,USA,California,"Clam Beach, near Eureka, Humboldt County",surfing,Leg & hand bitten,12:00 - 14:59
2162,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,Small lacerations on right lower leg,12:00 - 14:59
2165,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to foot,09:00 - 11:59
2166,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to right foot,15:00 - 17:59
2169,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Top of left foot bitten,15:00 - 17:59
2170,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Top of left foot bitten,09:00 - 11:59
2171,1997.0,Unprovoked,AUSTRALIA,Queensland,"Pincushion, north of Maroochydore Beach",surfing,Leg lacerated,12:00 - 14:59
2172,1997.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Breezy Point, Ntlonyana",surfing,FATAL,12:00 - 14:59
2174,1997.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",playing,Left calf bitten,21:00 - 23:59
2177,1997.0,Unprovoked,USA,Hawaii,"Sunset Beach, Oahu",swimming,Leg bitten just above ankle,21:00 - 23:59
2178,1997.0,Unprovoked,FIJI,Taveuni,Off a small island 5 km from Garden Island Resort,swimming,"Bitten on inner thigh, leg surgically amputated",12:00 - 14:59
2179,1997.0,Unprovoked,USA,Florida, Palm Beach County,surfing,Laceration to left upper arm,18:00 - 20:59
2181,1997.0,Unprovoked,USA,Florida,"Daytona Beach Shores,  Volusia County",surfing,4 lacerations above left ankle,09:00 - 11:59
2182,1997.0,Unprovoked,USA,Florida,In Gulf of Mexico 17 miles off Weeki Wachee ,fishing,Right thigh punctured,06:00 - 08:59
2183,1997.0,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",surfing,Left elbow bitten,09:00 - 11:59
2184,1997.0,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",surfing,Left ankle bitten,09:00 - 11:59
2186,1997.0,Unprovoked,BAHAMAS,Abaco Islands,Walkers Cay,fishing,Leg bitten,06:00 - 08:59
2193,1997.0,Unprovoked,AUSTRALIA,Queensland,"Whitehaven Beach, Whitsundays Island",swimming,"Left leg lacerated, punctures to right leg",09:00 - 11:59
2194,1997.0,Unprovoked,AUSTRALIA,Western Australia,Geraldton,surfing,"Presumed fatal, no body recovered, shark mutilated wetsuit & harness recovered ",18:00 - 20:59
2197,1996.0,Unprovoked,AUSTRALIA,Queensland,Coolum Beach,surfing,,18:00 - 20:59
2198,1996.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Duck Pond, Sardina Bay near Port Elizabeth",surfing,Elbow bitten,15:00 - 17:59
2201,1996.0,Unprovoked,USA,California,"Salmon Creek Beach, Sonoma County",surfing,Single laceration on ankle & board bitten,06:00 - 08:59
2202,1996.0,Unprovoked,USA,Florida,"Coral Cove Park, Palm Beach County",surfing,Right foot bitten,15:00 - 17:59
2206,1996.0,Unprovoked,USA,California,"Dillon Beach, Marin County",surfing,Lower leg bitten,12:00 - 14:59
2207,1996.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",surfing,"4"" laceration on left forearm",06:00 - 08:59
2208,1996.0,Unprovoked,USA,California,"North Salmon Creek Beach, Sonoma County",surfing,"No Injury, shark struck his board",06:00 - 08:59
2210,1996.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,4 or 5 lacerations on left ankle,12:00 - 14:59
2211,1996.0,Unprovoked,NEW ZEALAND,Chatham Islands ,Waihere Bay,swimming,"Back, arms & wrist severely lacerated",09:00 - 11:59
2212,1996.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Small puncture wounds and lacerations on right leg just below knee,12:00 - 14:59
2213,1996.0,Unprovoked,USA,Florida,"Behune Beach, Volusia County",playing,Right foot bitten,18:00 - 20:59
2214,1996.0,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",surfing,Small lacerations on left foot,12:00 - 14:59
2217,1996.0,Unprovoked,USA,Hawaii,"Paukukalo, Maui",surfing,Right calf bitten,15:00 - 17:59
2218,1996.0,Unprovoked,USA,California,"Bird Rock, Tomales Point",swimming,"Left shoulder, forearm, hand & abdomen lacerated",09:00 - 11:59
2219,1996.0,Unprovoked,USA,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County",fishing,"No injury, towed by shark that grabbed stringer of fish tied to his waist",12:00 - 14:59
2220,1996.0,Unprovoked,USA,Florida,"Wiggins Pass, Collier County",playing,Survived,18:00 - 20:59
2222,1996.0,Unprovoked,EGYPT / ISRAEL,"South Sinai, Gulf of Aqaba","1 km off the mouth of Marsa Bereika, north of Ras Mohammed",swimming,"Bitten on back, shoulder & chest",18:00 - 20:59
2224,1996.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,Laceration to right arm,12:00 - 14:59
2227,1996.0,Unprovoked,USA,Florida,"Public Beach, Siesta Key, Sarasota County",playing,Laceration on left foot,12:00 - 14:59
2229,1996.0,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",surfing,"Lacerations to left shin, heel & foot",12:00 - 14:59
2230,1996.0,Unprovoked,AUSTRALIA,Victoria,"Suicide Point, Point Leo",surfing,"No injury, board bitten",15:00 - 17:59
2232,1996.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"The Steps, Wilderness",surfing,Leg bitten,12:00 - 14:59
2234,1996.0,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",surfing,Right foot & ankle bitten,12:00 - 14:59
2236,1996.0,Unprovoked,USA,Florida,"Shark Shallows, Ponce Inlet, Volusia County",surfing,Left foot & leg bitten,09:00 - 11:59
2241,1996.0,Unprovoked,AUSTRALIA,Queensland,Heron Island,swimming,Left arm & leg lacerated,06:00 - 08:59
2249,1996.0,Unprovoked,AUSTRALIA,New South Wales,"Ned's Beach, Lord Howe Island",swimming,Ankles injured,12:00 - 14:59
2252,1996.0,Unprovoked,USA,Hawaii,"Ka'eleki'I Point, Maui",swimming,Lacerations to left foot & right shin,15:00 - 17:59
2255,1996.0,Unprovoked,REUNION,Saint-Paul ,Embouchure de l'étang de Saint Paul,surfing,FATAL,15:00 - 17:59
2265,1995.0,Unprovoked,AUSTRALIA,Queensland,"Pialba, Hervey Bay",playing,Laceration to thigh,12:00 - 14:59
2266,1995.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",surfing,Right arm injured,09:00 - 11:59
2267,1995.0,Unprovoked,USA,Florida,"Crescent Beach, St. Augustine, St. Johns County",surfing,4 punctures in left foot,06:00 - 08:59
2269,1995.0,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",surfing,"Right foot bruised, board bitten",15:00 - 17:59
2271,1995.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",swimming,Left elbow and bicep bitten,15:00 - 17:59
2274,1995.0,Unprovoked,AUSTRALIA,Western Australia,"Honeymoon Island, near Hopetown",swimming,"FATAL, head, shoulder and arm severed, remains recovered at Munglinup Beach on 9/13/1995",15:00 - 17:59
2275,1995.0,Unprovoked,USA,California,"Shelter Cove, Humboldt County",surfing,Lower leg bitten,15:00 - 17:59
2280,1995.0,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",surfing,Left elbow bitten,18:00 - 20:59
2281,1995.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",surfing,4 puncture wounds on right pinky finger,12:00 - 14:59
2282,1995.0,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",swimming,Left arm bitten,21:00 - 23:59
2283,1995.0,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",swimming,Right foot bitten,12:00 - 14:59
2284,1995.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",surfing,Bottom of left foot gashed,18:00 - 20:59
2286,1995.0,Unprovoked,TONGA,Vava'u,Near Tapana Island,fishing,Upper left thigh avulsed  ,15:00 - 17:59
2287,1995.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County ",playing,Thigh lacerated,06:00 - 08:59
2289,1995.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Laceration to left heel,12:00 - 14:59
2291,1995.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",surfing,Multiple bites on right leg and knee,12:00 - 14:59
2294,1995.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left foot bitten,15:00 - 17:59
2295,1995.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor laceration on lower leg,12:00 - 14:59
2296,1995.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Laceration to heel,12:00 - 14:59
2297,1995.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,2-inch laceration to lower right leg ,12:00 - 14:59
2302,1984.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,surfing,Wetsuit lacerated,15:00 - 17:59
2306,1995.0,Unprovoked,USA,California,"Bluefish Cove, Pt. Lobos State Park, Monterey County",swimming,"Forearm, abdomen & upper leg lacerated",15:00 - 17:59
2310,1995.0,Unprovoked,USA,Florida,"Jensen Beach Park, Martin County",swimming,Right leg bitten,18:00 - 20:59
2311,1995.0,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",swimming,Leg bitten,12:00 - 14:59
2312,1995.0,Unprovoked,USA,Hawaii,"Opposite Grand Wailea Resort, Wailea, Maui",swimming,Puncture wounds & scratches to torso & left leg ,09:00 - 11:59
2314,1995.0,Unprovoked,HONG KONG,New Territories,Sheung Sze Wan Beach,swimming,"FATAL, right thigh bitten, femur exposed  ",12:00 - 14:59
2323,1995.0,Unprovoked,JAPAN,Aichi Prefecture,Atsumi Peninsula,swimming,FATAL,09:00 - 11:59
2325,1995.0,Unprovoked,AUSTRALIA,South Australia,Cactus Beach,surfing,Left arm lacerated,06:00 - 08:59
2326,1995.0,Unprovoked,BRAZIL,Maranhão,"Praia do Olho D'Água, São Luis",swimming,FATAL,12:00 - 14:59
2327,1995.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kidd's Beach,swimming,Lacerations to lower leg & foot,15:00 - 17:59
2329,1995.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Isipingo,swimming,"FATAL, right thigh bitten & femur exposed, shallow lacerations on right calf & left thigh & fingers lacerated ",18:00 - 20:59
2335,1994.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,surfing,"No injury, board bitten",15:00 - 17:59
2336,1994.0,Unprovoked,USA,Hawaii,"Kinikini, Mana, Kaua'i",surfing,"No injury, shark bit surfboard",12:00 - 14:59
2341,1994.0,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",swimming,"FATAL, right leg nearly severed, puncture wounds to left leg ",06:00 - 08:59
2344,1994.0,Unprovoked,USA,Hawaii,"Off the Hanalei River, Kaua'i",surfing,Right thigh & board bitten,09:00 - 11:59
2345,1994.0,Unprovoked,USA,Hawaii,"Kealia Beach, Kaua'i",surfing,"No injury, shark bit surfboard",15:00 - 17:59
2349,1994.0,Unprovoked,USA,Florida,"Indialantic, Brevard County",surfing,Foot bitten,12:00 - 14:59
2351,1994.0,Unprovoked,USA,Oregon,"Short Sand Beach, Oswald West State Park",surfing,"No injury, surfboard bitten",15:00 - 17:59
2357,1994.0,Unprovoked,REUNION,Saint-Denis,Barachois,surfing,FATAL,12:00 - 14:59
2358,1994.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",surfing,"FATAL, leg severed ",12:00 - 14:59
2359,1994.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",surfing,Buttock & leg bitten,12:00 - 14:59
2361,1994.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right calf lacerated,15:00 - 17:59
